blok,hucre_id,seed_key_hucre,kol,k_true,rho_hedef,sigma,gurultu,rho_max,theta_min,ratio,verdict,rho_mean,d_eff,siniflar,phi,n_per_cluster,kume_boyutlari,sigma_vektoru,atama_id,aykiri_n,aykiri_sigma,jitter,cinsiyet,prototip_set_id,prototip_hash
A_harita,0,0,P_konum,3,r045,0.1,beyaz,0.456,62.9,11.01,kolay,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,1,1,P_konum,3,r045,0.1,ar1_097,0.456,62.9,11.01,kolay,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,2,2,P_konum,3,r045,0.2,beyaz,0.456,62.9,5.56,kolay,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,3,3,P_konum,3,r045,0.2,ar1_097,0.456,62.9,5.56,kolay,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,4,4,P_konum,3,r045,0.3,beyaz,0.456,62.9,3.77,kolay,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,5,5,P_konum,3,r045,0.3,ar1_097,0.456,62.9,3.77,kolay,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,6,6,P_konum,3,r045,0.4,beyaz,0.456,62.9,2.88,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,7,7,P_konum,3,r045,0.4,ar1_097,0.456,62.9,2.88,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,8,8,P_konum,3,r045,0.5,beyaz,0.456,62.9,2.37,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,9,9,P_konum,3,r045,0.5,ar1_097,0.456,62.9,2.37,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,10,10,P_konum,3,r045,0.6,beyaz,0.456,62.9,2.03,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,11,11,P_konum,3,r045,0.6,ar1_097,0.456,62.9,2.03,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,12,12,P_konum,3,r045,0.7,beyaz,0.456,62.9,1.8,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,13,13,P_konum,3,r045,0.7,ar1_097,0.456,62.9,1.8,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,14,14,P_konum,3,r045,0.8,beyaz,0.456,62.9,1.63,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,15,15,P_konum,3,r045,0.8,ar1_097,0.456,62.9,1.63,orta,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,16,16,P_konum,3,r045,0.9,beyaz,0.456,62.9,1.5,zor,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,17,17,P_konum,3,r045,0.9,ar1_097,0.456,62.9,1.5,zor,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,18,18,P_konum,3,r045,1.0,beyaz,0.456,62.9,1.4,zor,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,,10,,,,0,,0,,,
A_harita,19,19,P_konum,3,r045,1.0,ar1_097,0.456,62.9,1.4,zor,0.276,2.34,peak@1942w15 | peak@1952w15 | peak@1962w15,0.97,10,,,,0,,0,,,
A_harita,20,20,P_konum,3,r062,0.1,beyaz,0.615,52.1,9.12,kolay,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,21,21,P_konum,3,r062,0.1,ar1_097,0.615,52.1,9.12,kolay,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,22,22,P_konum,3,r062,0.2,beyaz,0.615,52.1,4.61,kolay,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,23,23,P_konum,3,r062,0.2,ar1_097,0.615,52.1,4.61,kolay,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,24,24,P_konum,3,r062,0.3,beyaz,0.615,52.1,3.12,kolay,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,25,25,P_konum,3,r062,0.3,ar1_097,0.615,52.1,3.12,kolay,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,26,26,P_konum,3,r062,0.4,beyaz,0.615,52.1,2.39,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,27,27,P_konum,3,r062,0.4,ar1_097,0.615,52.1,2.39,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,28,28,P_konum,3,r062,0.5,beyaz,0.615,52.1,1.96,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,29,29,P_konum,3,r062,0.5,ar1_097,0.615,52.1,1.96,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,30,30,P_konum,3,r062,0.6,beyaz,0.615,52.1,1.68,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,31,31,P_konum,3,r062,0.6,ar1_097,0.615,52.1,1.68,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,32,32,P_konum,3,r062,0.7,beyaz,0.615,52.1,1.49,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,33,33,P_konum,3,r062,0.7,ar1_097,0.615,52.1,1.49,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,34,34,P_konum,3,r062,0.8,beyaz,0.615,52.1,1.35,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,35,35,P_konum,3,r062,0.8,ar1_097,0.615,52.1,1.35,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,36,36,P_konum,3,r062,0.9,beyaz,0.615,52.1,1.24,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
